"<DATE>","<OPEN>","<HIGH>","<LOW>","<CLOSE>","<VOL>"
"2/3/2020","0.04606","0.046565","0.045835","0.04615","28744030000"
"2/4/2020","0.04637","0.047435","0.04633","0.047255","38499030000"
"2/5/2020","0.04733","0.048175","0.047025","0.04768","39508130000"
"2/6/2020","0.048","0.04835","0.04771","0.048075","30385790000"
"2/7/2020","0.04804","0.04823","0.0474","0.04809","17492800000"
"2/10/2020","0.048115","0.0485","0.0474","0.0474","34748180000"
"2/11/2020","0.0476","0.04779","0.04742","0.04744","28011470000"
"2/12/2020","0.04748","0.04805","0.04745","0.04787","19635460000"
"2/13/2020","0.047785","0.04836","0.047585","0.048","28600180000"
"2/14/2020","0.04812","0.04825","0.047735","0.047885","11615610000"
"2/17/2020","0.048075","0.04818","0.04788","0.048095","9177590000"
"2/18/2020","0.047925","0.047995","0.0472","0.047205","23747150000"
"2/19/2020","0.0474","0.04758","0.04728","0.04747","13794480000"
"2/20/2020","0.047565","0.047785","0.04751","0.04751","12606630000"
"2/21/2020","0.04739","0.0481","0.0472","0.04796","19771390000"
"2/25/2020","0.04735","0.048275","0.04722","0.047295","52689530000"
"2/26/2020","0.04705","0.04774","0.04652","0.04723","52216370000"
"2/27/2020","0.046945","0.04713","0.04531","0.04539","46303030000"
"2/28/2020","0.0443","0.044495","0.04243","0.04333","88893820000"
"3/2/2020","0.04414","0.04444","0.042615","0.043","64207930000"
"3/3/2020","0.04371","0.04419","0.042835","0.043255","50685620000"
"3/4/2020","0.042825","0.0438","0.0427","0.043155","28688450000"
"3/5/2020","0.043575","0.04378","0.042925","0.04307","25375410000"
"3/6/2020","0.042585","0.0426","0.040835","0.04122","62444220000"
"3/10/2020","0.0371","0.0397","0.03478","0.03745","100095230000"
"3/11/2020","0.038285","0.038285","0.03617","0.036355","58704400000"
"3/12/2020","0.034995","0.034995","0.030735","0.03112","146656520000"
"3/13/2020","0.031765","0.032995","0.0312","0.031575","130719530000"
"3/16/2020","0.030365","0.030945","0.028755","0.03015","118314310000"
"3/17/2020","0.030285","0.03144","0.028905","0.029735","90493350000"
"3/18/2020","0.0291","0.02939","0.0276","0.02814","90350300000"
"3/19/2020","0.02853","0.03065","0.027855","0.03057","101096200000"
"3/20/2020","0.031165","0.033025","0.03109","0.0315","117246270000"
"3/23/2020","0.03026","0.032475","0.030105","0.0316","79736050000"
"3/24/2020","0.03301","0.033495","0.0324","0.03288","62990120000"
"3/25/2020","0.0336","0.035485","0.0317","0.0328","131779890000"
"3/26/2020","0.032665","0.0334","0.0321","0.0325","64621230000"
"3/27/2020","0.032805","0.032935","0.030855","0.0311","60507180000"
"3/30/2020","0.0308","0.031795","0.02982","0.03165","77921780000"
"3/31/2020","0.032325","0.032695","0.031795","0.0326","71869010000"
"4/1/2020","0.03173","0.03238","0.03156","0.03203","57498660000"
"4/2/2020","0.03277","0.032995","0.031175","0.032175","83184070000"
"4/3/2020","0.032005","0.0326","0.031825","0.03208","69309390000"
"4/6/2020","0.03249","0.03386","0.03237","0.03367","84868050000"
"4/7/2020","0.03415","0.0352","0.034025","0.03437","129032250000"
"4/8/2020","0.034365","0.035","0.03392","0.035","62722120000"
"4/9/2020","0.035605","0.03694","0.035375","0.0364","125950670000"
"4/10/2020","0.036185","0.03678","0.0355","0.03659","62996750000"
"4/13/2020","0.036575","0.037125","0.035815","0.0359","70116100000"
"4/14/2020","0.036395","0.03645","0.035195","0.035415","57912060000"
"4/15/2020","0.03518","0.035185","0.033175","0.03324","89742280000"
"4/16/2020","0.03348","0.034465","0.0327","0.034","86952190000"
"4/17/2020","0.03471","0.0348","0.034","0.0343","40286650000"
"4/20/2020","0.033965","0.034275","0.0336","0.033805","40542490000"
"4/21/2020","0.03337","0.03338","0.03264","0.0331","60464150000"
"4/22/2020","0.03295","0.03417","0.03271","0.034","55576810000"
"4/23/2020","0.03425","0.034455","0.03382","0.03427","43508690000"
"4/24/2020","0.0341","0.03416","0.0336","0.033705","35686840000"
"4/27/2020","0.0337","0.034085","0.03365","0.0339","22749440000"
"4/28/2020","0.033885","0.035","0.033785","0.0345","56778970000"
"4/29/2020","0.03476","0.03523","0.03465","0.035195","38753190000"
"4/30/2020","0.035575","0.035835","0.03476","0.0349","44041730000"
"5/4/2020","0.03451","0.0351","0.034105","0.03486","32714550000"
"5/5/2020","0.035275","0.035655","0.03516","0.035475","29856620000"
"5/6/2020","0.0355","0.035895","0.035305","0.03531","33129280000"
"5/7/2020","0.03545","0.03594","0.035375","0.03553","26792360000"
"5/8/2020","0.0356","0.035785","0.03505","0.035375","26986470000"
"5/12/2020","0.03533","0.03551","0.0351","0.035185","20374090000"
"5/13/2020","0.035","0.03504","0.034205","0.034205","34569480000"
"5/14/2020","0.034075","0.0345","0.033915","0.03431","28864910000"
"5/15/2020","0.034625","0.03485","0.034215","0.034215","21619720000"
"5/18/2020","0.03462","0.035045","0.0345","0.03499","25496610000"
"5/19/2020","0.0351","0.03543","0.03467","0.03483","30033630000"
"5/20/2020","0.0348","0.035235","0.03463","0.03521","27873100000"
"5/21/2020","0.035255","0.03542","0.034785","0.03496","34177320000"
"5/22/2020","0.034775","0.03488","0.03453","0.03467","21206430000"
"5/25/2020","0.034815","0.03509","0.034805","0.035005","11932470000"
"5/26/2020","0.03519","0.03557","0.03506","0.0351","28543630000"
"5/27/2020","0.0351","0.03565","0.03505","0.03539","36400330000"
"5/28/2020","0.03555","0.03606","0.03541","0.03597","39963010000"
"5/29/2020","0.0359","0.03631","0.0353","0.03631","41072440000"
"6/1/2020","0.036405","0.03673","0.03627","0.03664","38301540000"
"6/2/2020","0.036735","0.037175","0.03665","0.037175","46020940000"
"6/3/2020","0.03727","0.03798","0.03725","0.03798","45821200000"
"6/4/2020","0.03787","0.0379","0.0368","0.03715","48002870000"
"6/5/2020","0.0373","0.037675","0.03719","0.037595","31381340000"
"6/8/2020","0.03773","0.037945","0.0374","0.037695","36921150000"
"6/9/2020","0.03779","0.037835","0.037165","0.0377","27758990000"
"6/10/2020","0.03776","0.037815","0.037365","0.03758","22753260000"
"6/11/2020","0.037265","0.03728","0.03644","0.036745","36661530000"
"6/15/2020","0.036195","0.03705","0.03583","0.036845","28560320000"
"6/16/2020","0.037195","0.03743","0.0368","0.03688","25708320000"
"6/17/2020","0.036925","0.03716","0.03645","0.0365","24835730000"
"6/18/2020","0.03643","0.036495","0.03583","0.0359","32640430000"
"6/19/2020","0.036125","0.03635","0.035255","0.035255","53947500000"
