<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
04/01/21,00:00:00,0.0380250,0.0385200,0.0378000,0.0379250,23'826'040'000
05/01/21,00:00:00,0.0379350,0.0386000,0.0378550,0.0384450,28'782'590'000
06/01/21,00:00:00,0.0385250,0.0385950,0.0380500,0.0382350,25'428'390'000
08/01/21,00:00:00,0.0385200,0.0390950,0.0384450,0.0389400,39'504'750'000
11/01/21,00:00:00,0.0387400,0.0400500,0.0384100,0.0398900,60'293'350'000
12/01/21,00:00:00,0.0400500,0.0405500,0.0397500,0.0401750,49'414'150'000
13/01/21,00:00:00,0.0402050,0.0404600,0.0395100,0.0397350,37'088'800'000
14/01/21,00:00:00,0.0397900,0.0401000,0.0392600,0.0398750,26'614'430'000
15/01/21,00:00:00,0.0397350,0.0414400,0.0392000,0.0395600,84'199'700'000
18/01/21,00:00:00,0.0393650,0.0394400,0.0387550,0.0391600,39'167'780'000
19/01/21,00:00:00,0.0393600,0.0394750,0.0385500,0.0386450,33'754'240'000
20/01/21,00:00:00,0.0386750,0.0389100,0.0386000,0.0387900,24'767'440'000
21/01/21,00:00:00,0.0389750,0.0389900,0.0377900,0.0378700,37'873'510'000
22/01/21,00:00:00,0.0376500,0.0377400,0.0370800,0.0373700,33'368'140'000
25/01/21,00:00:00,0.0375700,0.0379000,0.0374050,0.0377200,25'833'990'000
26/01/21,00:00:00,0.0375500,0.0378250,0.0373500,0.0377200,18'534'280'000
27/01/21,00:00:00,0.0377950,0.0378850,0.0370200,0.0370650,24'553'950'000
28/01/21,00:00:00,0.0370150,0.0373200,0.0364000,0.0370900,34'054'250'000
29/01/21,00:00:00,0.0369350,0.0369550,0.0365500,0.0366350,22'231'830'000
01/02/21,00:00:00,0.0368050,0.0371450,0.0366350,0.0369450,20'868'410'000
02/02/21,00:00:00,0.0371050,0.0375300,0.0368500,0.0369450,27'879'580'000
03/02/21,00:00:00,0.0370950,0.0373750,0.0367500,0.0370000,22'583'830'000
04/02/21,00:00:00,0.0369300,0.0374000,0.0369300,0.0373800,18'425'370'000
05/02/21,00:00:00,0.0374600,0.0380750,0.0373150,0.0378850,29'788'030'000
08/02/21,00:00:00,0.0380300,0.0383400,0.0380200,0.0382850,19'924'360'000
09/02/21,00:00:00,0.0383750,0.0384250,0.0375900,0.0378050,25'137'910'000
10/02/21,00:00:00,0.0378600,0.0380700,0.0372800,0.0373700,16'850'560'000
